,electricity_buy_price,electricity_sell_price,natural_gas_price,hydrogen_price,ammonia_price,sng_price,reclaimed_water_price,fertilizer_n_price,fertilizer_p_price
winter_h00,109.39813964880614,50.01057812516852,600.0,3000,500,400,0.5,600,800
winter_h01,108.00986404645467,49.37593784980785,600.0,3000,500,400,0.5,600,800
winter_h02,99.9688430105959,45.70004251912956,600.0,3000,500,400,0.5,600,800
winter_h03,107.99522193883652,49.3692443148967,600.0,3000,500,400,0.5,600,800
winter_h04,106.97863634722444,48.90451947301689,600.0,3000,500,400,0.5,600,800
winter_h05,96.76548107584875,44.235648491816576,600.0,3000,500,400,0.5,600,800
winter_h06,104.48224569743448,47.76331231882719,600.0,3000,500,400,0.5,600,800
winter_h07,229.65473175295085,73.48951416094427,600.0,3000,500,400,0.5,600,800
winter_h08,215.15163704924748,68.8485238557592,600.0,3000,500,400,0.5,600,800
winter_h09,246.75041140604907,78.9601316499357,600.0,3000,500,400,0.5,600,800
winter_h10,144.26451659861698,57.70580663944679,600.0,3000,500,400,0.5,600,800
winter_h11,149.86756493063262,59.947025972253044,600.0,3000,500,400,0.5,600,800
winter_h12,148.6286949544355,59.451477981774204,600.0,3000,500,400,0.5,600,800
winter_h13,147.52330773526717,59.00932309410687,600.0,3000,500,400,0.5,600,800
winter_h14,134.20910825664578,53.68364330265831,600.0,3000,500,400,0.5,600,800
winter_h15,154.2932946189982,61.71731784759928,600.0,3000,500,400,0.5,600,800
winter_h16,150.53852906043232,60.21541162417293,600.0,3000,500,400,0.5,600,800
winter_h17,135.55382334156914,54.221529336627654,600.0,3000,500,400,0.5,600,800
winter_h18,228.74422695632848,73.19815262602512,600.0,3000,500,400,0.5,600,800
winter_h19,210.04174011381645,67.21335683642127,600.0,3000,500,400,0.5,600,800
winter_h20,232.12632837104317,74.28042507873381,600.0,3000,500,400,0.5,600,800
winter_h21,230.56613885201574,73.78116443264503,600.0,3000,500,400,0.5,600,800
winter_h22,115.6414519844598,52.86466376432448,600.0,3000,500,400,0.5,600,800
winter_h23,105.06554319320352,48.02996260260733,600.0,3000,500,400,0.5,600,800
spring_h00,104.00312272719445,47.54428467528889,450.0,3000,500,400,0.5,600,800
spring_h01,109.17180858006454,49.90711249374379,450.0,3000,500,400,0.5,600,800
spring_h02,110.95214582856481,50.72098095020105,450.0,3000,500,400,0.5,600,800
spring_h03,99.87345090953671,45.6564347015025,450.0,3000,500,400,0.5,600,800
spring_h04,107.40427559268993,49.09909741380111,450.0,3000,500,400,0.5,600,800
spring_h05,101.66181258566534,46.47397146773273,450.0,3000,500,400,0.5,600,800
spring_h06,112.41560651251756,51.38999154857945,450.0,3000,500,400,0.5,600,800
spring_h07,226.51772691525238,72.48567261288076,450.0,3000,500,400,0.5,600,800
spring_h08,229.59322207157544,73.46983106290415,450.0,3000,500,400,0.5,600,800
spring_h09,244.13814948946188,78.1242078366278,450.0,3000,500,400,0.5,600,800
spring_h10,146.17630586408237,58.47052234563294,450.0,3000,500,400,0.5,600,800
spring_h11,145.81141599446096,58.32456639778439,450.0,3000,500,400,0.5,600,800
spring_h12,152.01757081188498,60.80702832475399,450.0,3000,500,400,0.5,600,800
spring_h13,147.9720986077038,59.18883944308151,450.0,3000,500,400,0.5,600,800
spring_h14,157.1468748585198,62.858749943407915,450.0,3000,500,400,0.5,600,800
spring_h15,133.23766247585215,53.295064990340855,450.0,3000,500,400,0.5,600,800
spring_h16,163.41054855377354,65.3642194215094,450.0,3000,500,400,0.5,600,800
spring_h17,151.49961401233801,60.5998456049352,450.0,3000,500,400,0.5,600,800
spring_h18,216.4221311584433,69.25508197070187,450.0,3000,500,400,0.5,600,800
spring_h19,229.5403083070097,73.4528986582431,450.0,3000,500,400,0.5,600,800
spring_h20,221.66922167800644,70.93415093696206,450.0,3000,500,400,0.5,600,800
spring_h21,222.24194794103886,71.11742334113244,450.0,3000,500,400,0.5,600,800
spring_h22,98.3352469197593,44.95325573474711,450.0,3000,500,400,0.5,600,800
spring_h23,106.54254546271235,48.705163640097076,450.0,3000,500,400,0.5,600,800
summer_h00,112.81172149760229,51.57107268461819,400.0,3000,500,400,0.5,600,800
summer_h01,101.61400103333038,46.452114758093884,400.0,3000,500,400,0.5,600,800
summer_h02,103.49466412991703,47.311846459390644,400.0,3000,500,400,0.5,600,800
summer_h03,105.86961419284131,48.39753791672746,400.0,3000,500,400,0.5,600,800
summer_h04,104.60238922921566,47.81823507621287,400.0,3000,500,400,0.5,600,800
summer_h05,107.22890733729145,49.01892906847609,400.0,3000,500,400,0.5,600,800
