,electricity_buy_price,electricity_sell_price,natural_gas_price,hydrogen_price,ammonia_price,sng_price,reclaimed_water_price,fertilizer_n_price,fertilizer_p_price
winter_h00,103.66915243239387,47.391612540522914,600.0,3000,500,400,0.5,600,800
winter_h01,103.49272669721258,47.31096077586861,600.0,3000,500,400,0.5,600,800
winter_h02,96.76100797336932,44.23360364496883,600.0,3000,500,400,0.5,600,800
winter_h03,91.98294466867648,42.049346134252104,600.0,3000,500,400,0.5,600,800
winter_h04,93.78374398498947,42.87256867885233,600.0,3000,500,400,0.5,600,800
winter_h05,104.78482478941169,47.901634189445346,600.0,3000,500,400,0.5,600,800
winter_h06,108.16910373376517,49.4487331354355,600.0,3000,500,400,0.5,600,800
winter_h07,213.23463258248105,68.23508242639394,600.0,3000,500,400,0.5,600,800
winter_h08,246.89157962472106,79.00530547991073,600.0,3000,500,400,0.5,600,800
winter_h09,227.66344163868064,72.8523013243778,600.0,3000,500,400,0.5,600,800
winter_h10,145.36872179722772,58.14748871889109,600.0,3000,500,400,0.5,600,800
winter_h11,163.87759207464987,65.55103682985994,600.0,3000,500,400,0.5,600,800
winter_h12,137.99474316865073,55.19789726746029,600.0,3000,500,400,0.5,600,800
winter_h13,153.61511481344252,61.44604592537701,600.0,3000,500,400,0.5,600,800
winter_h14,154.44948859482497,61.77979543792999,600.0,3000,500,400,0.5,600,800
winter_h15,160.0838881652659,64.03355526610636,600.0,3000,500,400,0.5,600,800
winter_h16,156.14392224397196,62.457568897588786,600.0,3000,500,400,0.5,600,800
winter_h17,147.72693119348108,59.090772477392434,600.0,3000,500,400,0.5,600,800
winter_h18,224.0716961620398,71.70294277185275,600.0,3000,500,400,0.5,600,800
winter_h19,231.19834005989338,73.98346881916588,600.0,3000,500,400,0.5,600,800
winter_h20,232.9052710429712,74.52968673375078,600.0,3000,500,400,0.5,600,800
winter_h21,202.35087831653584,64.75228106129147,600.0,3000,500,400,0.5,600,800
winter_h22,104.31427344847695,47.686525005018034,600.0,3000,500,400,0.5,600,800
winter_h23,109.76811217909191,50.179708424727735,600.0,3000,500,400,0.5,600,800
spring_h00,97.62264905537747,44.6274967110297,450.0,3000,500,400,0.5,600,800
spring_h01,109.35245120760449,49.9896919806192,450.0,3000,500,400,0.5,600,800
spring_h02,111.75500401959616,51.088001837529674,450.0,3000,500,400,0.5,600,800
spring_h03,102.9712047169212,47.072550727735404,450.0,3000,500,400,0.5,600,800
spring_h04,103.70271493172552,47.40695539736024,450.0,3000,500,400,0.5,600,800
spring_h05,108.11954080254944,49.42607579545117,450.0,3000,500,400,0.5,600,800
spring_h06,105.63285476677389,48.28930503623949,450.0,3000,500,400,0.5,600,800
spring_h07,231.27493666828917,74.00797973385254,450.0,3000,500,400,0.5,600,800
spring_h08,223.1394441610647,71.4046221315407,450.0,3000,500,400,0.5,600,800
spring_h09,210.6377969143394,67.40409501258861,450.0,3000,500,400,0.5,600,800
spring_h10,149.06272128444414,59.625088513777655,450.0,3000,500,400,0.5,600,800
spring_h11,136.42908251152937,54.571633004611755,450.0,3000,500,400,0.5,600,800
spring_h12,155.25835179135723,62.10334071654289,450.0,3000,500,400,0.5,600,800
spring_h13,155.2715092501763,62.10860370007053,450.0,3000,500,400,0.5,600,800
spring_h14,146.9095007027976,58.763800281119046,450.0,3000,500,400,0.5,600,800
spring_h15,152.87944240004967,61.151776960019866,450.0,3000,500,400,0.5,600,800
spring_h16,138.96575273887805,55.58630109555122,450.0,3000,500,400,0.5,600,800
spring_h17,143.92547812382406,57.57019124952963,450.0,3000,500,400,0.5,600,800
spring_h18,216.0694555434525,69.1422257739048,450.0,3000,500,400,0.5,600,800
spring_h19,241.98287186162958,77.43451899572146,450.0,3000,500,400,0.5,600,800
spring_h20,234.65101022479075,75.08832327193304,450.0,3000,500,400,0.5,600,800
spring_h21,241.42694222672495,77.25662151255199,450.0,3000,500,400,0.5,600,800
spring_h22,106.62636841138166,48.7434827023459,450.0,3000,500,400,0.5,600,800
spring_h23,111.15017040839976,50.811506472411324,450.0,3000,500,400,0.5,600,800
summer_h00,91.8672566245028,41.99646017120128,400.0,3000,500,400,0.5,600,800
summer_h01,105.60600748143874,48.27703199151485,400.0,3000,500,400,0.5,600,800
summer_h02,105.43224737889064,48.19759880177858,400.0,3000,500,400,0.5,600,800
summer_h03,99.06614217685319,45.287379280847176,400.0,3000,500,400,0.5,600,800
summer_h04,106.03869974443312,48.47483416888371,400.0,3000,500,400,0.5,600,800
summer_h05,93.9924555562461,42.96797968285536,400.0,3000,500,400,0.5,600,800
summer_h06,107.43868934413197,49.11482941446033,400.0,3000,500,400,0.5,600,800
summer_h07,204.94444977269762,65.58222392726324,400.0,3000,500,400,0.5,600,800
summer_h08,209.60094442610333,67.07230221635307,400.0,3000,500,400,0.5,600,800
summer_h09,243.94201873290746,78.06144599453039,400.0,3000,500,400,0.5,600,800
summer_h10,156.13925120985613,62.45570048394245,400.0,3000,500,400,0.5,600,800
summer_h11,149.00824130817358,59.60329652326943,400.0,3000,500,400,0.5,600,800
summer_h12,158.12746937547269,63.25098775018907,400.0,3000,500,400,0.5,600,800
summer_h13,147.74998664969095,59.09999465987637,400.0,3000,500,400,0.5,600,800
summer_h14,149.95049605483732,59.98019842193493,400.0,3000,500,400,0.5,600,800
summer_h15,143.41098765081446,57.36439506032578,400.0,3000,500,400,0.5,600,800
summer_h16,137.49937829849557,54.99975131939823,400.0,3000,500,400,0.5,600,800
summer_h17,161.84980328358287,64.73992131343314,400.0,3000,500,400,0.5,600,800
summer_h18,220.16275095751956,70.45208030640626,400.0,3000,500,400,0.5,600,800
summer_h19,226.863435882178,72.59629948229697,400.0,3000,500,400,0.5,600,800
summer_h20,240.35096927456212,76.91231016785987,400.0,3000,500,400,0.5,600,800
summer_h21,230.86632325390065,73.8772234412482,400.0,3000,500,400,0.5,600,800
summer_h22,109.7096525241243,50.15298401102825,400.0,3000,500,400,0.5,600,800
summer_h23,102.45963569924872,46.83869060537084,400.0,3000,500,400,0.5,600,800
autumn_h00,104.04711374742246,47.56439485596455,500.0,3000,500,400,0.5,600,800
autumn_h01,90.65726809026155,41.443322555548136,500.0,3000,500,400,0.5,600,800
autumn_h02,106.34648509963422,48.615536045547074,500.0,3000,500,400,0.5,600,800
autumn_h03,116.83534586654557,53.41044382470655,500.0,3000,500,400,0.5,600,800
autumn_h04,97.31097742960017,44.48501825353151,500.0,3000,500,400,0.5,600,800
autumn_h05,107.99332250882544,49.36837600403449,500.0,3000,500,400,0.5,600,800
autumn_h06,93.57535088443112,42.77730326145423,500.0,3000,500,400,0.5,600,800
autumn_h07,217.9267817234338,69.73657015149882,500.0,3000,500,400,0.5,600,800
autumn_h08,230.61101260835366,73.79552403467316,500.0,3000,500,400,0.5,600,800
autumn_h09,216.05955994499655,69.1390591823989,500.0,3000,500,400,0.5,600,800
