,electricity_buy_price,electricity_sell_price,natural_gas_price,hydrogen_price,ammonia_price,sng_price,reclaimed_water_price,fertilizer_n_price,fertilizer_p_price
winter_h00,101.85702192478604,46.563210022759336,600.0,3000,500,400,0.5,600,800
winter_h01,108.82352699202455,49.74789805349694,600.0,3000,500,400,0.5,600,800
winter_h02,119.18959854934515,54.48667362255779,600.0,3000,500,400,0.5,600,800
winter_h03,110.37275933145496,50.456118551522266,600.0,3000,500,400,0.5,600,800
winter_h04,110.54704125944093,50.535790290030135,600.0,3000,500,400,0.5,600,800
winter_h05,95.5817088896596,43.69449549241581,600.0,3000,500,400,0.5,600,800
winter_h06,99.54899604561508,45.50811247799547,600.0,3000,500,400,0.5,600,800
winter_h07,243.90054770247943,78.04817526479341,600.0,3000,500,400,0.5,600,800
winter_h08,223.4429245306495,71.50173584980784,600.0,3000,500,400,0.5,600,800
winter_h09,226.07812350301313,72.34499952096421,600.0,3000,500,400,0.5,600,800
winter_h10,149.05146592002635,59.62058636801054,600.0,3000,500,400,0.5,600,800
winter_h11,156.5013372264136,62.600534890565434,600.0,3000,500,400,0.5,600,800
winter_h12,153.7939646305276,61.517585852211035,600.0,3000,500,400,0.5,600,800
winter_h13,147.43804275329146,58.97521710131658,600.0,3000,500,400,0.5,600,800
winter_h14,130.7830253840601,52.313210153624034,600.0,3000,500,400,0.5,600,800
winter_h15,149.9591433042825,59.983657321713,600.0,3000,500,400,0.5,600,800
winter_h16,150.29551985572377,60.11820794228951,600.0,3000,500,400,0.5,600,800
winter_h17,150.45794766465815,60.18317906586326,600.0,3000,500,400,0.5,600,800
winter_h18,231.1870936500147,73.9798699680047,600.0,3000,500,400,0.5,600,800
winter_h19,222.1100754687073,71.07522414998633,600.0,3000,500,400,0.5,600,800
winter_h20,232.48325729224572,74.39464233351863,600.0,3000,500,400,0.5,600,800
winter_h21,206.26115950136295,66.00357104043614,600.0,3000,500,400,0.5,600,800
winter_h22,119.26616484813587,54.52167535914782,600.0,3000,500,400,0.5,600,800
winter_h23,103.88173884394512,47.4887949000892,600.0,3000,500,400,0.5,600,800
spring_h00,106.37882363016327,48.63031937378892,450.0,3000,500,400,0.5,600,800
spring_h01,97.55690582936607,44.59744266485306,450.0,3000,500,400,0.5,600,800
spring_h02,106.30728223983665,48.597614738211036,450.0,3000,500,400,0.5,600,800
spring_h03,110.15987398828432,50.358799537501405,450.0,3000,500,400,0.5,600,800
spring_h04,98.30909096447432,44.941298726616836,450.0,3000,500,400,0.5,600,800
spring_h05,101.51581929649309,46.40723167839684,450.0,3000,500,400,0.5,600,800
spring_h06,104.99805761869943,47.999112054262596,450.0,3000,500,400,0.5,600,800
spring_h07,234.69660899614908,75.1029148787677,450.0,3000,500,400,0.5,600,800
spring_h08,223.72726913309023,71.59272612258887,450.0,3000,500,400,0.5,600,800
spring_h09,227.7840214503703,72.89088686411849,450.0,3000,500,400,0.5,600,800
spring_h10,153.76757693686304,61.50703077474522,450.0,3000,500,400,0.5,600,800
spring_h11,162.76636590768166,65.10654636307267,450.0,3000,500,400,0.5,600,800
spring_h12,147.87488002352956,59.14995200941182,450.0,3000,500,400,0.5,600,800
spring_h13,157.08757300725537,62.83502920290215,450.0,3000,500,400,0.5,600,800
spring_h14,154.77032022130086,61.90812808852034,450.0,3000,500,400,0.5,600,800
spring_h15,157.40521802090365,62.96208720836146,450.0,3000,500,400,0.5,600,800
spring_h16,154.01236980222816,61.60494792089127,450.0,3000,500,400,0.5,600,800
spring_h17,143.50734606708946,57.40293842683579,450.0,3000,500,400,0.5,600,800
spring_h18,218.80904113589347,70.01889316348591,450.0,3000,500,400,0.5,600,800
spring_h19,225.6732357401771,72.21543543685667,450.0,3000,500,400,0.5,600,800
spring_h20,226.86444749181962,72.59662319738229,450.0,3000,500,400,0.5,600,800
spring_h21,203.35722059815998,65.07431059141119,450.0,3000,500,400,0.5,600,800
spring_h22,99.51198786324179,45.49119445176767,450.0,3000,500,400,0.5,600,800
spring_h23,109.03123494119713,49.842850258832975,450.0,3000,500,400,0.5,600,800
summer_h00,106.0324829791444,48.47199221903744,400.0,3000,500,400,0.5,600,800
summer_h01,108.50860279312091,49.6039327054267,400.0,3000,500,400,0.5,600,800
summer_h02,105.58088910802329,48.26554930652493,400.0,3000,500,400,0.5,600,800
summer_h03,100.11879941821019,45.76859401975322,400.0,3000,500,400,0.5,600,800
summer_h04,99.41841923061408,45.44842021970929,400.0,3000,500,400,0.5,600,800
summer_h05,97.3705731338112,44.51226200402798,400.0,3000,500,400,0.5,600,800
summer_h06,104.77472905665056,47.89701899732597,400.0,3000,500,400,0.5,600,800
summer_h07,214.84782227884983,68.75130312923196,400.0,3000,500,400,0.5,600,800
summer_h08,211.37155068363867,67.63889621876437,400.0,3000,500,400,0.5,600,800
summer_h09,213.76942868113179,68.40621717796218,400.0,3000,500,400,0.5,600,800
summer_h10,147.31934267546046,58.927737070184186,400.0,3000,500,400,0.5,600,800
summer_h11,158.1965212992462,63.27860851969848,400.0,3000,500,400,0.5,600,800
summer_h12,144.11145363270268,57.64458145308107,400.0,3000,500,400,0.5,600,800
summer_h13,145.98252964670152,58.39301185868061,400.0,3000,500,400,0.5,600,800
summer_h14,153.17943354316733,61.271773417266935,400.0,3000,500,400,0.5,600,800
summer_h15,154.736652078439,61.894660831375596,400.0,3000,500,400,0.5,600,800
summer_h16,156.88101763755094,62.75240705502037,400.0,3000,500,400,0.5,600,800
summer_h17,145.84194824278933,58.336779297115726,400.0,3000,500,400,0.5,600,800
summer_h18,225.36529434462318,72.11689419027941,400.0,3000,500,400,0.5,600,800
summer_h19,210.13615713642443,67.24357028365581,400.0,3000,500,400,0.5,600,800
summer_h20,230.77237400689205,73.84715968220546,400.0,3000,500,400,0.5,600,800
summer_h21,227.1620165211256,72.69184528676018,400.0,3000,500,400,0.5,600,800
summer_h22,106.06070862316975,48.484895370591886,400.0,3000,500,400,0.5,600,800
summer_h23,103.76814082170537,47.436864375636745,400.0,3000,500,400,0.5,600,800
autumn_h00,108.76314240187818,49.72029366943002,500.0,3000,500,400,0.5,600,800
autumn_h01,103.36378745506028,47.25201712231327,500.0,3000,500,400,0.5,600,800
autumn_h02,107.31794317866881,49.05963116739146,500.0,3000,500,400,0.5,600,800
autumn_h03,100.08651690638013,45.75383630005948,500.0,3000,500,400,0.5,600,800
autumn_h04,104.63296044914823,47.83221049103919,500.0,3000,500,400,0.5,600,800
autumn_h05,107.5877973178151,49.18299305957262,500.0,3000,500,400,0.5,600,800
