,pv_availability,wind_availability
winter_h00,0.0,0.40785287727847896
winter_h01,0.0,0.20850134735188747
winter_h02,0.0,0.36362005840002
winter_h03,0.0,0.49767168656346816
winter_h04,0.0,0.36596863111996497
winter_h05,0.0,0.3006991481199434
winter_h06,0.0,0.4577838679665062
winter_h07,0.12423314164920995,0.2872311091076048
winter_h08,0.23999999999999996,0.17951531110281113
winter_h09,0.3394112549695428,0.3867013562992953
winter_h10,0.4156921938165305,0.31888894892194247
winter_h11,0.4636443966187528,0.451727804147226
winter_h12,0.48,0.15962663103484656
winter_h13,0.4636443966187528,0.2765360443846899
winter_h14,0.41569219381653055,0.19411681954169674
winter_h15,0.33941125496954283,0.18515814886412543
winter_h16,0.23999999999999996,0.28011285482644127
winter_h17,0.12423314164921008,0.1751848387414546
winter_h18,5.878304635907295e-17,0.3673075459250844
winter_h19,0.0,0.3190578249062168
winter_h20,0.0,0.19121402230949225
winter_h21,0.0,0.2243255177855963
winter_h22,0.0,0.28133586849148
winter_h23,0.0,0.1708649295549573
spring_h00,0.0,0.3052925929845876
spring_h01,0.0,0.32663757733181453
spring_h02,0.0,0.44036542959526837
spring_h03,0.0,0.41633477785617623
spring_h04,0.0,0.43520523096102265
spring_h05,0.0,0.39568705027941287
spring_h06,0.0,0.3683532555403161
spring_h07,0.2070552360820166,0.36326518046753636
spring_h08,0.39999999999999997,0.3919753243825822
spring_h09,0.565685424949238,0.31515078275069336
spring_h10,0.6928203230275509,0.24718657386730372
spring_h11,0.7727406610312547,0.30535176314269113
spring_h12,0.8,0.35041059152228
spring_h13,0.7727406610312547,0.427798996842903
spring_h14,0.692820323027551,0.0
spring_h15,0.5656854249492381,0.08847844969937164
spring_h16,0.39999999999999997,0.30954054057974273
spring_h17,0.2070552360820168,0.3397208022775603
spring_h18,9.797174393178826e-17,0.20821950981981285
spring_h19,0.0,0.006745670534947207
spring_h20,0.0,0.16561358469854442
spring_h21,0.0,0.19864473023626233
spring_h22,0.0,0.22538734989852144
spring_h23,0.0,0.2441700975695375
summer_h00,0.0,0.3019255973632025
summer_h01,0.0,0.29210405622151986
summer_h02,0.0,0.31338289141261416
summer_h03,0.0,0.27616631448310053
summer_h04,0.0,0.2399304077375669
summer_h05,0.0,0.19108089484004825
summer_h06,0.0,0.15427698290968292
summer_h07,0.25881904510252074,0.4090327593752142
summer_h08,0.49999999999999994,0.36561545433265724
summer_h09,0.7071067811865475,0.3476857746776629
summer_h10,0.8660254037844386,0.09581441857723272
summer_h11,0.9659258262890683,0.014029828552624801
summer_h12,1.0,0.2205783096658528
summer_h13,0.9659258262890683,0.1294631025293136
summer_h14,0.8660254037844387,0.0993319230076488
summer_h15,0.7071067811865476,0.08110561014342582
summer_h16,0.49999999999999994,0.0494557393693008
summer_h17,0.258819045102521,0.14589569244850548
summer_h18,1.2246467991473532e-16,0.19122125946143587
summer_h19,0.0,0.24093405839071047
summer_h20,0.0,0.1519083359768079
summer_h21,0.0,0.22639518417350102
summer_h22,0.0,0.1530347089284383
summer_h23,0.0,0.18167945990503467
autumn_h00,0.0,0.2816659739338406
autumn_h01,0.0,0.37410433566552226
autumn_h02,0.0,0.28552928188400384
autumn_h03,0.0,0.29541940791789484
autumn_h04,0.0,0.2422069516855283
autumn_h05,0.0,0.21944802227089574
autumn_h06,0.0,0.4015842160696239
autumn_h07,0.16564418886561327,0.2842675358705081
autumn_h08,0.31999999999999995,0.3447389494568431
autumn_h09,0.45254833995939037,0.3520002481095848
autumn_h10,0.5542562584220407,0.5158974823057771
autumn_h11,0.6181925288250038,0.16519711205978294
autumn_h12,0.64,0.1909798482387973
autumn_h13,0.6181925288250038,0.12620792516916557
autumn_h14,0.5542562584220407,0.13710191571821964
autumn_h15,0.4525483399593905,0.18884392417333226
autumn_h16,0.31999999999999995,0.45240735546355554
autumn_h17,0.16564418886561347,0.13037648811415373
autumn_h18,7.83773951454306e-17,0.10969111032333521
autumn_h19,0.0,0.21954883542577142
autumn_h20,0.0,0.1851533289401063
autumn_h21,0.0,0.3083083839526685
autumn_h22,0.0,0.2790140032846251
autumn_h23,0.0,0.3108154553831362
