,pv_availability,wind_availability
winter_h00,0.0,0.4668181374161233
winter_h01,0.0,0.15372606653107013
winter_h02,0.0,0.49590358688691305
winter_h03,0.0,0.6892674466905574
winter_h04,0.0,0.49374174596056797
winter_h05,0.0,0.5393357324771024
winter_h06,0.0,0.5508016794517232
winter_h07,0.16564418886561327,0.35627392116113893
winter_h08,0.31999999999999995,0.669795126533946
winter_h09,0.45254833995939037,0.7074147837079068
winter_h10,0.5542562584220407,0.6113450541445717
winter_h11,0.6181925288250038,0.6432166217394804
winter_h12,0.64,0.4913089542303277
winter_h13,0.6181925288250038,0.41150916493322365
winter_h14,0.5542562584220407,0.3191532616675854
winter_h15,0.4525483399593905,0.3921010923294153
winter_h16,0.31999999999999995,0.15777552221914606
winter_h17,0.16564418886561347,0.3214091608734362
winter_h18,7.83773951454306e-17,0.19930312835690506
winter_h19,0.0,0.2842327702095524
winter_h20,0.0,0.4816522707410169
winter_h21,0.0,0.47309520199613786
winter_h22,0.0,0.36287409987779473
winter_h23,0.0,0.42589806221114396
spring_h00,0.0,0.2463663721579748
spring_h01,0.0,0.3643892281901057
spring_h02,0.0,0.4558843641973696
spring_h03,0.0,0.3003568973155498
spring_h04,0.0,0.6187739980159278
spring_h05,0.0,0.4874225797487204
spring_h06,0.0,0.422816353039484
spring_h07,0.2484662832984199,0.5806036832278273
spring_h08,0.4799999999999999,0.4672691140213856
spring_h09,0.6788225099390855,0.4726798864187454
spring_h10,0.831384387633061,0.3701640496768912
spring_h11,0.9272887932375056,0.30859754383626437
spring_h12,0.96,0.5218921627615744
spring_h13,0.9272887932375056,0.2895974592508698
spring_h14,0.8313843876330611,0.3642289898418558
spring_h15,0.6788225099390857,0.35581709212889
spring_h16,0.4799999999999999,0.20991879228269986
spring_h17,0.24846628329842016,0.1623166364465683
spring_h18,1.175660927181459e-16,0.2869323926335564
spring_h19,0.0,0.3519253057138148
spring_h20,0.0,0.1325359389365937
spring_h21,0.0,0.43377730445329266
spring_h22,0.0,0.25206030791556305
spring_h23,0.0,0.3173509722360398
summer_h00,0.0,0.29810706257846137
summer_h01,0.0,0.3909589416535423
summer_h02,0.0,0.2969423471257177
summer_h03,0.0,0.5747002893268587
summer_h04,0.0,0.419999079537942
summer_h05,0.0,0.36442922808042333
summer_h06,0.0,0.4589078834710525
summer_h07,0.3105828541230249,0.38477988188689527
summer_h08,0.5999999999999999,0.40571328363201975
summer_h09,0.8485281374238569,0.30035633264494177
summer_h10,1.0392304845413263,0.30838914278159174
summer_h11,1.159110991546882,0.38394211033997816
summer_h12,1.2,0.39005975859816955
summer_h13,1.159110991546882,0.2924617838344865
summer_h14,1.0392304845413265,0.22973297361471987
summer_h15,0.848528137423857,0.21922059991272544
summer_h16,0.5999999999999999,0.0
summer_h17,0.3105828541230252,0.29021594700105036
summer_h18,1.4695761589768238e-16,0.31637913788329486
summer_h19,0.0,0.22051992810784005
summer_h20,0.0,0.29565812593895346
summer_h21,0.0,0.42508048252243724
summer_h22,0.0,0.2631852611006442
summer_h23,0.0,0.27609789475567004
autumn_h00,0.0,0.44581809893017416
autumn_h01,0.0,0.39556325759422317
autumn_h02,0.0,0.4642013587291649
autumn_h03,0.0,0.4712734410095405
autumn_h04,0.0,0.4049294928241628
autumn_h05,0.0,0.39629207325101024
autumn_h06,0.0,0.44545955902083906
autumn_h07,0.2070552360820166,0.5542587752428082
autumn_h08,0.39999999999999997,0.5738187824724876
autumn_h09,0.565685424949238,0.5030281134403505
autumn_h10,0.6928203230275509,0.29974287836453467
autumn_h11,0.7727406610312547,0.25146455237399845
autumn_h12,0.8,0.4090530431616432
autumn_h13,0.7727406610312547,0.23773115793287364
autumn_h14,0.692820323027551,0.3493798069088605
autumn_h15,0.5656854249492381,0.24740926754393036
autumn_h16,0.39999999999999997,0.26348465943180144
autumn_h17,0.2070552360820168,0.22158634313237396
autumn_h18,9.797174393178826e-17,0.3762763859216358
autumn_h19,0.0,0.3494469950682819
autumn_h20,0.0,0.1916889104615444
autumn_h21,0.0,0.20106248892837142
autumn_h22,0.0,0.3055999117995301
autumn_h23,0.0,0.35182265689774245
