,pv_availability,wind_availability
winter_h00,0.0,0.22269165326984428
winter_h01,0.0,0.33656410262678554
winter_h02,0.0,0.27770568558283293
winter_h03,0.0,0.2082370588316943
winter_h04,0.0,0.05670422634019606
winter_h05,0.0,0.23987953701116346
winter_h06,0.0,0.32934785080889345
winter_h07,0.08282209443280664,0.39571397095631655
winter_h08,0.15999999999999998,0.29277852671823335
winter_h09,0.22627416997969518,0.2667594109838185
winter_h10,0.27712812921102037,0.21652661046299382
winter_h11,0.3090962644125019,0.22527002456328368
winter_h12,0.32,0.16237920455398255
winter_h13,0.3090962644125019,0.1196168402331775
winter_h14,0.27712812921102037,0.0876355053087351
winter_h15,0.22627416997969524,0.16774606457351027
winter_h16,0.15999999999999998,0.1929308263973484
winter_h17,0.08282209443280673,0.25178570514018306
winter_h18,3.91886975727153e-17,0.2512210931008837
winter_h19,0.0,0.17270240119882813
winter_h20,0.0,0.20482402222118856
winter_h21,0.0,0.14979032371645987
winter_h22,0.0,0.19934963560229677
winter_h23,0.0,0.17337692575284022
spring_h00,0.0,0.17373864507332068
spring_h01,0.0,0.14849641301489677
spring_h02,0.0,0.17971051145698483
spring_h03,0.0,0.23617455070726648
spring_h04,0.0,0.1543239425167834
spring_h05,0.0,0.19505426181124777
spring_h06,0.0,0.25917096002351925
spring_h07,0.16564418886561327,0.2516530398207284
spring_h08,0.31999999999999995,0.09545211403842357
spring_h09,0.45254833995939037,0.22283328816945347
spring_h10,0.5542562584220407,0.15188573825497936
spring_h11,0.6181925288250038,0.19787937723422339
spring_h12,0.64,0.3087489673993494
spring_h13,0.6181925288250038,0.22645207583727242
spring_h14,0.5542562584220407,0.05627729534434052
spring_h15,0.4525483399593905,0.2235270566311317
spring_h16,0.31999999999999995,0.0
spring_h17,0.16564418886561347,0.2395328002146309
spring_h18,7.83773951454306e-17,0.13751257682659365
spring_h19,0.0,0.187560298908726
spring_h20,0.0,0.11437399966844022
spring_h21,0.0,0.10013751975417029
spring_h22,0.0,0.08220601115997134
spring_h23,0.0,0.08352772250590476
summer_h00,0.0,0.07149805110964526
summer_h01,0.0,0.16259599969579264
summer_h02,0.0,0.062387573756871546
summer_h03,0.0,0.29373700727574975
summer_h04,0.0,0.18424493815613327
summer_h05,0.0,0.16325769595497208
summer_h06,0.0,0.0
summer_h07,0.2070552360820166,0.03688839216842517
summer_h08,0.39999999999999997,0.17674452534726393
summer_h09,0.565685424949238,0.13463396570139036
summer_h10,0.6928203230275509,0.0
summer_h11,0.7727406610312547,0.04608264406613741
summer_h12,0.8,0.15500053252673604
summer_h13,0.7727406610312547,0.11053249410767277
summer_h14,0.692820323027551,0.0948706538945936
summer_h15,0.5656854249492381,0.10674706411704665
summer_h16,0.39999999999999997,0.0
summer_h17,0.2070552360820168,0.0
summer_h18,9.797174393178826e-17,0.06073801111927929
summer_h19,0.0,0.06715150349958035
summer_h20,0.0,0.0
summer_h21,0.0,0.01551758886498597
summer_h22,0.0,0.27627334809356785
summer_h23,0.0,0.061793483847754065
autumn_h00,0.0,0.2365961494514095
autumn_h01,0.0,0.2883456782187721
autumn_h02,0.0,0.05233461449221638
autumn_h03,0.0,0.23265129457277664
autumn_h04,0.0,0.025501897400024176
autumn_h05,0.0,0.2632882292809234
autumn_h06,0.0,0.14136269625906578
autumn_h07,0.12423314164920995,0.2598072591414621
autumn_h08,0.23999999999999996,0.16622689638563884
autumn_h09,0.3394112549695428,0.14223723044807762
autumn_h10,0.4156921938165305,0.3046027502013809
autumn_h11,0.4636443966187528,0.07042392177982755
autumn_h12,0.48,0.22564947118854747
autumn_h13,0.4636443966187528,0.38468989902973244
autumn_h14,0.41569219381653055,0.1299552941157039
autumn_h15,0.33941125496954283,0.14653526808483786
autumn_h16,0.23999999999999996,0.09801362674088288
autumn_h17,0.12423314164921008,0.08260328866682755
autumn_h18,5.878304635907295e-17,0.1282877216928217
autumn_h19,0.0,0.016008144144546557
autumn_h20,0.0,0.07323767801329237
autumn_h21,0.0,0.10689578663725288
autumn_h22,0.0,0.09452332348994202
autumn_h23,0.0,0.24586057732759223
