,electricity_buy_price,electricity_sell_price,natural_gas_price,hydrogen_price,ammonia_price,sng_price,reclaimed_water_price,fertilizer_n_price,fertilizer_p_price
winter_h00,95.1961119302778,43.51822259669842,600.0,3000,500,400,0.5,600,800
winter_h01,108.36532602889349,49.5384347560656,600.0,3000,500,400,0.5,600,800
winter_h02,103.54103024861232,47.33304239936563,600.0,3000,500,400,0.5,600,800
winter_h03,102.4638896767305,46.84063528079109,600.0,3000,500,400,0.5,600,800
winter_h04,104.91098223824143,47.959306166053224,600.0,3000,500,400,0.5,600,800
winter_h05,98.32043931820067,44.946486545463166,600.0,3000,500,400,0.5,600,800
winter_h06,105.11004711151547,48.050307250978506,600.0,3000,500,400,0.5,600,800
winter_h07,204.72480596474244,65.51193790871758,600.0,3000,500,400,0.5,600,800
winter_h08,208.60697600440267,66.75423232140885,600.0,3000,500,400,0.5,600,800
winter_h09,231.30840293942148,74.01868894061488,600.0,3000,500,400,0.5,600,800
winter_h10,140.11712138582087,56.04684855432835,600.0,3000,500,400,0.5,600,800
winter_h11,157.2064939594084,62.882597583763356,600.0,3000,500,400,0.5,600,800
winter_h12,161.01029011732484,64.40411604692994,600.0,3000,500,400,0.5,600,800
winter_h13,159.83703007223505,63.93481202889403,600.0,3000,500,400,0.5,600,800
winter_h14,155.3909122701501,62.15636490806004,600.0,3000,500,400,0.5,600,800
winter_h15,146.6307517288581,58.65230069154323,600.0,3000,500,400,0.5,600,800
winter_h16,139.0390655244464,55.61562620977856,600.0,3000,500,400,0.5,600,800
winter_h17,156.2445831275022,62.49783325100089,600.0,3000,500,400,0.5,600,800
winter_h18,214.9160091516967,68.77312292854293,600.0,3000,500,400,0.5,600,800
winter_h19,229.2813715439811,73.37003889407396,600.0,3000,500,400,0.5,600,800
winter_h20,247.2073352268249,79.10634727258397,600.0,3000,500,400,0.5,600,800
winter_h21,253.56952181618627,81.14224698117961,600.0,3000,500,400,0.5,600,800
winter_h22,108.73869774587988,49.70911896954509,600.0,3000,500,400,0.5,600,800
winter_h23,108.96927641487517,49.81452636108579,600.0,3000,500,400,0.5,600,800
spring_h00,105.2900013586598,48.13257204967305,450.0,3000,500,400,0.5,600,800
spring_h01,97.56860722971064,44.60279187643915,450.0,3000,500,400,0.5,600,800
spring_h02,105.66530411844884,48.30413902557662,450.0,3000,500,400,0.5,600,800
spring_h03,104.44117747368679,47.74453827368539,450.0,3000,500,400,0.5,600,800
spring_h04,112.25215106858953,51.315269059926635,450.0,3000,500,400,0.5,600,800
spring_h05,104.67578454199507,47.851787219197746,450.0,3000,500,400,0.5,600,800
spring_h06,108.32012040192555,49.51776932659453,450.0,3000,500,400,0.5,600,800
spring_h07,236.26160190845457,75.60371261070546,450.0,3000,500,400,0.5,600,800
spring_h08,220.86715019726145,70.67748806312366,450.0,3000,500,400,0.5,600,800
spring_h09,222.31593606509395,71.14109954083007,450.0,3000,500,400,0.5,600,800
spring_h10,152.04459751468715,60.817839005874866,450.0,3000,500,400,0.5,600,800
spring_h11,154.45101272086862,61.78040508834744,450.0,3000,500,400,0.5,600,800
spring_h12,147.1321998010307,58.852879920412285,450.0,3000,500,400,0.5,600,800
spring_h13,150.61517999656417,60.24607199862566,450.0,3000,500,400,0.5,600,800
spring_h14,149.30973896136842,59.723895584547364,450.0,3000,500,400,0.5,600,800
spring_h15,154.58936881809734,61.83574752723894,450.0,3000,500,400,0.5,600,800
spring_h16,157.90288348846812,63.16115339538725,450.0,3000,500,400,0.5,600,800
spring_h17,151.37658536621615,60.55063414648646,450.0,3000,500,400,0.5,600,800
spring_h18,218.434473779851,69.89903160955232,450.0,3000,500,400,0.5,600,800
spring_h19,220.4270902862512,70.53666889160039,450.0,3000,500,400,0.5,600,800
spring_h20,211.15142938494566,67.5684574031826,450.0,3000,500,400,0.5,600,800
spring_h21,253.37940495070094,81.0814095842243,450.0,3000,500,400,0.5,600,800
spring_h22,102.2073077101166,46.72334066748187,450.0,3000,500,400,0.5,600,800
spring_h23,107.95407394459626,49.350433803244,450.0,3000,500,400,0.5,600,800
summer_h00,106.96026438166652,48.89612086019041,400.0,3000,500,400,0.5,600,800
summer_h01,104.9032628367776,47.95577729681261,400.0,3000,500,400,0.5,600,800
summer_h02,98.71226009623449,45.12560461542148,400.0,3000,500,400,0.5,600,800
summer_h03,110.55322258362355,50.53861603822791,400.0,3000,500,400,0.5,600,800
summer_h04,106.25555732256808,48.5739690617454,400.0,3000,500,400,0.5,600,800
summer_h05,99.76362969656653,45.60623071843041,400.0,3000,500,400,0.5,600,800
