,electricity_buy_price,electricity_sell_price,natural_gas_price,hydrogen_price,ammonia_price,sng_price,reclaimed_water_price,fertilizer_n_price,fertilizer_p_price
winter_h00,96.86510938869205,44.28119286340208,600.0,3000,500,400,0.5,600,800
winter_h01,108.25352297201722,49.487324787207875,600.0,3000,500,400,0.5,600,800
winter_h02,109.0986115773538,49.87365100679031,600.0,3000,500,400,0.5,600,800
winter_h03,110.69127762568462,50.601726914598686,600.0,3000,500,400,0.5,600,800
winter_h04,99.54988785023197,45.508520160106045,600.0,3000,500,400,0.5,600,800
winter_h05,110.27756875635794,50.41260286004935,600.0,3000,500,400,0.5,600,800
winter_h06,105.85595024567144,48.39129154087837,600.0,3000,500,400,0.5,600,800
winter_h07,229.58392198131236,73.46685503401994,600.0,3000,500,400,0.5,600,800
winter_h08,203.82758665580388,65.22482772985724,600.0,3000,500,400,0.5,600,800
winter_h09,231.58538011064184,74.10732163540538,600.0,3000,500,400,0.5,600,800
winter_h10,150.12858380381067,60.05143352152427,600.0,3000,500,400,0.5,600,800
winter_h11,159.79115463609992,63.916461854439966,600.0,3000,500,400,0.5,600,800
winter_h12,149.09693236028994,59.63877294411597,600.0,3000,500,400,0.5,600,800
winter_h13,137.39470704460354,54.957882817841416,600.0,3000,500,400,0.5,600,800
winter_h14,143.7273996135092,57.49095984540367,600.0,3000,500,400,0.5,600,800
winter_h15,167.38793874166132,66.95517549666452,600.0,3000,500,400,0.5,600,800
winter_h16,144.55553410244127,57.82221364097651,600.0,3000,500,400,0.5,600,800
winter_h17,152.83746608452267,61.13498643380907,600.0,3000,500,400,0.5,600,800
winter_h18,236.28223041410635,75.61031373251404,600.0,3000,500,400,0.5,600,800
winter_h19,228.47860605607528,73.11315393794409,600.0,3000,500,400,0.5,600,800
winter_h20,215.97631145810766,69.11241966659445,600.0,3000,500,400,0.5,600,800
winter_h21,218.1413483066432,69.80523145812583,600.0,3000,500,400,0.5,600,800
winter_h22,108.64944873011206,49.6683194194798,600.0,3000,500,400,0.5,600,800
winter_h23,99.9624439121797,45.69711721699643,600.0,3000,500,400,0.5,600,800
spring_h00,103.14031663463041,47.1498590329739,450.0,3000,500,400,0.5,600,800
spring_h01,108.86089520069807,49.76498066317626,450.0,3000,500,400,0.5,600,800
spring_h02,100.61574110876005,45.99576736400459,450.0,3000,500,400,0.5,600,800
spring_h03,102.32322024758167,46.776329256037336,450.0,3000,500,400,0.5,600,800
spring_h04,91.96729379712536,42.04219145011445,450.0,3000,500,400,0.5,600,800
spring_h05,107.1317622453081,48.974519883569414,450.0,3000,500,400,0.5,600,800
spring_h06,105.03354152101073,48.01533326674776,450.0,3000,500,400,0.5,600,800
spring_h07,220.80872028981946,70.65879049274223,450.0,3000,500,400,0.5,600,800
spring_h08,242.49335647866428,77.59787407317256,450.0,3000,500,400,0.5,600,800
spring_h09,220.8053068430236,70.65769818976756,450.0,3000,500,400,0.5,600,800
spring_h10,137.98553094458012,55.19421237783205,450.0,3000,500,400,0.5,600,800
spring_h11,164.47428601975713,65.78971440790286,450.0,3000,500,400,0.5,600,800
spring_h12,146.51114760872707,58.60445904349083,450.0,3000,500,400,0.5,600,800
spring_h13,142.54334684865708,57.017338739462836,450.0,3000,500,400,0.5,600,800
spring_h14,165.56552388375428,66.22620955350172,450.0,3000,500,400,0.5,600,800
spring_h15,145.13630515917933,58.05452206367173,450.0,3000,500,400,0.5,600,800
spring_h16,151.36363098915325,60.54545239566131,450.0,3000,500,400,0.5,600,800
spring_h17,137.59216835824424,55.0368673432977,450.0,3000,500,400,0.5,600,800
spring_h18,237.617519085611,76.03760610739553,450.0,3000,500,400,0.5,600,800
spring_h19,208.33256081942463,66.66641946221588,450.0,3000,500,400,0.5,600,800
spring_h20,232.74596560400508,74.47870899328163,450.0,3000,500,400,0.5,600,800
spring_h21,217.13043139105602,69.48173804513793,450.0,3000,500,400,0.5,600,800
spring_h22,109.32786139492981,49.97845092339649,450.0,3000,500,400,0.5,600,800
spring_h23,110.97598593915363,50.73187928647023,450.0,3000,500,400,0.5,600,800
summer_h00,109.49369072945578,50.054258619179784,400.0,3000,500,400,0.5,600,800
summer_h01,97.67140415507211,44.6497847566044,400.0,3000,500,400,0.5,600,800
summer_h02,100.83723989049761,46.097023949941764,400.0,3000,500,400,0.5,600,800
summer_h03,108.16541867255984,49.44704853602735,400.0,3000,500,400,0.5,600,800
summer_h04,116.47487481927365,53.24565706023938,400.0,3000,500,400,0.5,600,800
summer_h05,118.83828584243918,54.3260735279722,400.0,3000,500,400,0.5,600,800
summer_h06,96.35927131443727,44.049952600885604,400.0,3000,500,400,0.5,600,800
summer_h07,206.6838408133894,66.1388290602846,400.0,3000,500,400,0.5,600,800
summer_h08,217.9655367814855,69.74897177007536,400.0,3000,500,400,0.5,600,800
summer_h09,211.70957870406957,67.74706518530226,400.0,3000,500,400,0.5,600,800
summer_h10,141.63741834552354,56.65496733820942,400.0,3000,500,400,0.5,600,800
summer_h11,141.97850032893072,56.79140013157229,400.0,3000,500,400,0.5,600,800
summer_h12,164.21650075255667,65.68660030102266,400.0,3000,500,400,0.5,600,800
summer_h13,152.68104790318435,61.07241916127374,400.0,3000,500,400,0.5,600,800
summer_h14,140.96940706223197,56.38776282489278,400.0,3000,500,400,0.5,600,800
summer_h15,139.071395891637,55.62855835665479,400.0,3000,500,400,0.5,600,800
summer_h16,141.46873235425994,56.58749294170398,400.0,3000,500,400,0.5,600,800
summer_h17,155.82502899901996,62.33001159960799,400.0,3000,500,400,0.5,600,800
summer_h18,215.71969675178687,69.0303029605718,400.0,3000,500,400,0.5,600,800
summer_h19,233.27903906748622,74.6492925015956,400.0,3000,500,400,0.5,600,800
