,pv_availability,wind_availability
winter_h00,0.0,0.2979407803538909
winter_h01,0.0,0.3884193971835079
winter_h02,0.0,0.4297096971495332
winter_h03,0.0,0.5300756540343292
winter_h04,0.0,0.5453482014307288
winter_h05,0.0,0.1882382770237865
winter_h06,0.0,0.4227535637838406
winter_h07,0.12423314164920995,0.35101198125713984
winter_h08,0.23999999999999996,0.35807084955217794
winter_h09,0.3394112549695428,0.41510231325146496
winter_h10,0.4156921938165305,0.36886982597445356
winter_h11,0.4636443966187528,0.42942539883751685
winter_h12,0.48,0.23195998632585024
winter_h13,0.4636443966187528,0.2616872152196874
winter_h14,0.41569219381653055,0.06962870495786957
winter_h15,0.33941125496954283,0.42978413011361427
winter_h16,0.23999999999999996,0.2824590499459677
winter_h17,0.12423314164921008,0.17508241299138383
winter_h18,5.878304635907295e-17,0.20206362194521416
winter_h19,0.0,0.11763275745755676
winter_h20,0.0,0.09588291972110971
winter_h21,0.0,0.19896958428501976
winter_h22,0.0,0.35968014299765405
winter_h23,0.0,0.26589379641127825
spring_h00,0.0,0.26529048751961964
spring_h01,0.0,0.1987221358274066
spring_h02,0.0,0.3204608555427939
spring_h03,0.0,0.3150424916342647
spring_h04,0.0,0.22445998663860967
spring_h05,0.0,0.20934627018217916
spring_h06,0.0,0.32109455509598583
spring_h07,0.2070552360820166,0.30679553035839735
spring_h08,0.39999999999999997,0.4845014591233294
spring_h09,0.565685424949238,0.3350351894454973
spring_h10,0.6928203230275509,0.22523209168958358
spring_h11,0.7727406610312547,0.37969664595130437
spring_h12,0.8,0.14239776217352879
spring_h13,0.7727406610312547,0.15340106302871337
spring_h14,0.692820323027551,0.0
spring_h15,0.5656854249492381,0.19918346289435176
spring_h16,0.39999999999999997,0.4530638012759213
spring_h17,0.2070552360820168,0.2506675968567725
spring_h18,9.797174393178826e-17,0.18675532404325507
spring_h19,0.0,0.42991422918947736
spring_h20,0.0,0.23767303528061628
spring_h21,0.0,0.25529924168750756
spring_h22,0.0,0.4379179115859116
spring_h23,0.0,0.08691776720702146
summer_h00,0.0,0.044434491102490925
summer_h01,0.0,0.23027310808276566
summer_h02,0.0,0.2144114847652535
summer_h03,0.0,0.2233003924570548
summer_h04,0.0,0.38462422809216207
summer_h05,0.0,0.26121482345870217
summer_h06,0.0,0.2061154975924005
summer_h07,0.25881904510252074,0.37909046440890065
summer_h08,0.49999999999999994,0.2075974685138507
summer_h09,0.7071067811865475,0.13192528036932244
summer_h10,0.8660254037844386,0.3441430391303445
summer_h11,0.9659258262890683,0.22554716766612584
summer_h12,1.0,0.17745045744305618
summer_h13,0.9659258262890683,0.1911967021924933
summer_h14,0.8660254037844387,0.20196028396130652
summer_h15,0.7071067811865476,0.2771143019032897
summer_h16,0.49999999999999994,0.08405157699893694
summer_h17,0.258819045102521,0.22624107280710742
summer_h18,1.2246467991473532e-16,0.2231573539324681
summer_h19,0.0,0.08761730369213191
summer_h20,0.0,0.189651123425488
summer_h21,0.0,0.10900325979210555
summer_h22,0.0,0.06603875182181665
summer_h23,0.0,0.18774250512536847
autumn_h00,0.0,0.46889834134228503
autumn_h01,0.0,0.2611732871904053
autumn_h02,0.0,0.33116905165581795
autumn_h03,0.0,0.23116965373415374
autumn_h04,0.0,0.36775292608425136
autumn_h05,0.0,0.2969311752918724
autumn_h06,0.0,0.4984806001289428
autumn_h07,0.16564418886561327,0.4341281066271962
autumn_h08,0.31999999999999995,0.2877388397290613
autumn_h09,0.45254833995939037,0.11867872415269543
autumn_h10,0.5542562584220407,0.42778133515933986
autumn_h11,0.6181925288250038,0.37621242695519075
autumn_h12,0.64,0.1987473581480511
autumn_h13,0.6181925288250038,0.05383824896786896
autumn_h14,0.5542562584220407,0.21130805892528498
autumn_h15,0.4525483399593905,0.26891509341144254
autumn_h16,0.31999999999999995,0.22130116674457734
autumn_h17,0.16564418886561347,0.2122909442385633
autumn_h18,7.83773951454306e-17,0.30093891380462434
autumn_h19,0.0,0.16996133329227153
autumn_h20,0.0,0.19637378115703213
autumn_h21,0.0,0.3075396089502166
autumn_h22,0.0,0.33723047373085757
autumn_h23,0.0,0.04415244892113929
