,pv_availability,wind_availability
winter_h00,0.0,0.07848641725426964
winter_h01,0.0,0.36714850012514494
winter_h02,0.0,0.18880384259797783
winter_h03,0.0,0.155242453018709
winter_h04,0.0,0.14016556965913296
winter_h05,0.0,0.2925594840640926
winter_h06,0.0,0.22786958658313702
winter_h07,0.08282209443280664,0.4585743226507183
winter_h08,0.15999999999999998,0.2772790835827345
winter_h09,0.22627416997969518,0.313965925844676
winter_h10,0.27712812921102037,0.21147595800098828
winter_h11,0.3090962644125019,0.2519266284379335
winter_h12,0.32,0.18878915034925348
winter_h13,0.3090962644125019,0.18329453123102005
winter_h14,0.27712812921102037,0.16507833461737198
winter_h15,0.22627416997969524,0.28440006409195495
winter_h16,0.15999999999999998,0.11657451100368449
winter_h17,0.08282209443280673,0.13313870551406085
winter_h18,3.91886975727153e-17,0.0
winter_h19,0.0,0.12731902372216355
winter_h20,0.0,0.18010051576550679
winter_h21,0.0,0.15700942944781157
winter_h22,0.0,0.1901959361105653
winter_h23,0.0,0.07742961803961905
spring_h00,0.0,0.007173251980854972
spring_h01,0.0,0.14666878870445388
spring_h02,0.0,0.28103626772335416
spring_h03,0.0,0.08815095809727022
spring_h04,0.0,0.1871114097681507
spring_h05,0.0,0.0798242467025341
spring_h06,0.0,0.23921914563875832
spring_h07,0.16564418886561327,0.0944213891934865
spring_h08,0.31999999999999995,0.2920809021557245
spring_h09,0.45254833995939037,0.27995361672174424
spring_h10,0.5542562584220407,0.2991982662145535
spring_h11,0.6181925288250038,0.14413312186222876
spring_h12,0.64,0.13128308234517144
spring_h13,0.6181925288250038,0.055545653886775306
spring_h14,0.5542562584220407,0.18944198726138384
spring_h15,0.4525483399593905,0.19715689382508556
spring_h16,0.31999999999999995,0.2350965643269585
spring_h17,0.16564418886561347,0.0
spring_h18,7.83773951454306e-17,0.21641447440193795
spring_h19,0.0,0.048078983655948315
spring_h20,0.0,0.21529256836537297
spring_h21,0.0,0.0
spring_h22,0.0,0.0315526990986105
spring_h23,0.0,0.05977523490029191
summer_h00,0.0,0.19653925018457558
summer_h01,0.0,0.3247701196194062
summer_h02,0.0,0.15082542244373173
summer_h03,0.0,0.243198370088261
summer_h04,0.0,0.03430766857342715
summer_h05,0.0,0.12768518385500752
summer_h06,0.0,0.13458735846151543
summer_h07,0.2070552360820166,0.10490182191253226
summer_h08,0.39999999999999997,0.0
summer_h09,0.565685424949238,0.27063712184854594
summer_h10,0.6928203230275509,0.011116591739760803
summer_h11,0.7727406610312547,0.1225653648794731
summer_h12,0.8,0.1187274181296062
summer_h13,0.7727406610312547,0.0
summer_h14,0.692820323027551,0.040209621910062096
summer_h15,0.5656854249492381,0.17233859718505468
summer_h16,0.39999999999999997,0.2146291374103082
summer_h17,0.2070552360820168,0.06222491341387868
summer_h18,9.797174393178826e-17,0.09570030184124888
summer_h19,0.0,0.03996508716770067
summer_h20,0.0,0.0
summer_h21,0.0,0.0
summer_h22,0.0,0.19991197272891714
summer_h23,0.0,0.11963816176452784
autumn_h00,0.0,0.11589845212873974
autumn_h01,0.0,0.1599723668292803
autumn_h02,0.0,0.3726043080710488
autumn_h03,0.0,0.10622747214012607
autumn_h04,0.0,0.1752717471788122
autumn_h05,0.0,0.2723628631855769
autumn_h06,0.0,0.23208446608745012
autumn_h07,0.12423314164920995,0.18978145985501327
autumn_h08,0.23999999999999996,0.1924812657391071
autumn_h09,0.3394112549695428,0.16206226678489136
autumn_h10,0.4156921938165305,0.25752691117813353
autumn_h11,0.4636443966187528,0.17096393330192877
autumn_h12,0.48,0.3418148176669275
autumn_h13,0.4636443966187528,0.10884061406420079
autumn_h14,0.41569219381653055,0.08585008969321765
autumn_h15,0.33941125496954283,0.06695817670307291
autumn_h16,0.23999999999999996,0.34833920241729655
autumn_h17,0.12423314164921008,0.1896746700561979
autumn_h18,5.878304635907295e-17,0.01556410974540591
autumn_h19,0.0,0.10178139662753392
autumn_h20,0.0,0.15231340195199278
autumn_h21,0.0,0.2384209090352878
autumn_h22,0.0,0.24231657539459253
autumn_h23,0.0,0.12581365229461539
